user_id,item_id
0,1811 2256 2732 2397 331 1001 1808 1044 3696 2862
1,3656 1686 1699 1272 1491 106 160 232 2175 1801
2,2342 1956 2338 2185 1560 2132 2256 1809 2354 293
3,3435 2194 1617 3318 3472 1861 2342 512 621 2664
4,1560 2774 1809 3677 2402 487 138 1490 707 508
5,472 3409 1193 3438 2056 2700 1223 1102 3231 1859
6,863 1678 2281 2308 1840 3438 1227 3402 2528 166
7,476 2210 1746 463 2630 3441 2646 2745 3238 82
8,2528 1858 1193 1678 2006 69 3036 3448 1543 2915
9,2054 1560 36 2602 1505 2784 1811 3013 124 279
10,1590 1505 1316 3367 2862 1543 333 1223 3116 3350
11,16 283 2862 1039 3367 1956 2054 2646 1315 331
12,2534 2036 1045 1960 971 892 2210 2800 190 2261
13,2626 2732 2646 3692 1030 16 132 401 2828 2817
14,3119 2370 527 1422 3415 2643 2639 1052 2132 2342
15,989 246 1456 2646 1052 1422 1887 3431 2574 650
16,2054 872 3677 817 1227 37 3448 1341 2636 1678
17,3272 1831 36 1746 2606 2626 2314 3153 82 3441
18,640 1376 2664 1638 3000 3013 528 3262 1300 1505
19,3409 3656 1316 790 2564 138 2732 1279 1543 1560
20,1615 863 3677 3448 1315 3402 2370 2528 1887 2774
21,1699 1166 472 3544 1316 2732 2673 2908 601 791
22,2402 1001 2646 452 2862 3059 3049 3529 3205 2688
23,922 2673 3059 1912 3105 2470 3448 1341 12 1102
24,3013 1638 2387 528 2557 2534 796 584 2653 124
25,2502 1296 3528 2474 3668 1720 3151 1887 790 1365
26,3153 2564 124 3272 2054 707 476 1315 3402 1560
27,2564 124 2128 1543 487 1316 3153 3409 3013 3272
28,36 3529 2745 3409 2603 3022 1960 1030 93 2789
29,93 573 1638 2230 36 3013 2862 3653 1223 2564
30,237 3528 82 2840 3656 1172 401 863 1096 760
31,2653 3350 3327 1184 2397 650 640 2980 3669 382
32,1868 463 2653 1545 472 1615 3022 1583 802 3367
33,640 584 208 398 1809 1490 2688 1956 2297 2222
34,1376 3692 1887 512 573 3418 1946 1614 452 2370
35,1223 1543 2862 3013 3409 1560 2297 2603 2402 3272
36,472 3529 3119 2862 3365 1560 3256 2297 1315 1583
37,3367 530 3402 1808 1315 1723 289 2327 2528 2024
38,3528 584 2190 672 983 2315 743 1428 922 2757
39,1052 482 2132 1422 3133 989 1633 1510 3157 1762
40,472 2335 1887 3013 1543 2862 2119 1223 2281 2587
41,463 2653 2862 1337 2488 1583 320 279 971 2931
42,183 106 2492 2928 304 1808 3677 2410 2397 109
43,3053 2630 3473 584 2501 1831 3529 283 1505 741
44,2653 1545 2338 312 208 1638 2397 1809 293 331
45,2603 2688 1583 169 2297 1831 1855 2314 1078 584
46,2603 2630 168 2732 3473 1868 2067 2222 2493 3269
47,305 1807 3402 3652 607 2895 3013 3216 2088 529
48,1592 1543 3423 3269 463 36 3013 124 1560 1039
49,1868 2653 1545 3600 1086 174 452 810 488 1037
50,1583 1855 2784 2510 2626 119 1546 16 2314 1216
51,2402 1887 2256 1315 2068 3677 3256 1371 527 3119
52,1505 3298 1510 3677 2342 3701 1445 1573 208 2210
53,1505 3269 2510 2493 472 1223 618 1543 2564 796
54,246 863 563 1887 2397 1615 3390 1099 168 2222
55,640 2862 183 1279 3423 573 467 2132 1337 2068
56,3537 2947 2910 1916 3424 2732 2297 1039 228 3247
57,237 512 214 2646 3272 1296 1475 2609 2835 2256
58,3418 1505 2789 3692 2327 2366 152 741 1614 573
59,494 135 1946 1808 1398 894 166 2402 2510 1184
60,796 3409 3424 93 1205 1638 1039 1354 1316 3022
61,169 2314 2602 3049 2757 649 1753 502 119 2541
62,2327 1401 3110 1223 2732 2541 3382 3332 493 3159
63,584 640 2297 1086 1956 2732 2510 1337 452 2314
64,3224 589 1935 3614 500 1659 232 3443 332 1246
65,304 983 1365 1746 138 755 109 3031 2484 3685
66,2068 1052 382 3238 186 2484 2564 2468 785 2129
67,3269 1223 3424 246 3153 1590 467 124 621 3023
68,472 1300 1868 232 160 1936 402 1216 2338 495
69,1473 3544 1615 1066 3294 1137 2862 1543 3388 3475
70,774 472 2664 2054 1491 2128 3238 3172 2603 1913
71,1315 132 2692 1386 2502 382 138 3424 184 1296
72,3298 1615 2119 2376 1184 1023 20 2572 3529 1382
73,922 1658 3692 2470 790 12 3131 3105 3213 1040
74,2664 1946 1375 1300 674 3382 494 2688 2798 452
75,208 1211 1746 1039 293 1490 2768 3022 36 793
76,2342 2529 168 2063 3463 2370 649 2817 2528 3628
77,2314 3238 2342 1248 2784 3473 650 2617 208 1510
78,382 883 463 2314 584 732 989 2273 2224 1887
79,1861 3022 1044 1216 2480 2181 16 584 2221 3511
80,3317 2148 1916 2366 476 120 512 3365 1590 1279
81,1678 872 1758 1671 3085 3367 657 1218 1757 1996
82,1887 3677 989 2256 382 482 2068 2281 3119 3205
83,1030 1205 1583 1592 3142 2410 2960 2564 2297 3022
84,2817 2338 183 16 2468 3053 1560 293 1868 2664
85,124 1560 3402 69 3350 863 3013 37 472 2862
86,3142 1057 1001 12 1658 1178 2112 1083 2768 3213
87,1186 3557 1808 184 2281 3000 1615 59 204 2119
88,2646 2402 3269 132 796 169 2370 1205 3409 2410
89,2402 2281 989 1475 3701 3205 1315 784 3365 1456
90,2068 1543 3415 1316 2862 528 1670 1371 1781 312
91,1475 3382 2470 2692 1887 3180 523 22 2148 707
92,1039 1543 472 2732 169 3013 2745 640 2646 1592
93,1583 1039 1316 3013 3059 69 2210 1315 2630 3692
94,3116 2528 1615 1840 2646 406 1753 3022 530 166
95,2745 1096 1030 331 3694 3327 1099 3474 1746 3529
96,2281 467 183 1510 2256 1422 512 3157 1052 527
97,2636 1811 2297 1337 463 3677 3022 472 3529 802
98,1887 1376 3656 1456 989 1633 1560 382 2256 2774
99,119 2757 2342 1374 1711 3692 2365 1617 2616 99
100,152 1315 2365 809 640 1807 406 1840 3116 2512
101,1831 476 1811 204 2054 2076 1315 293 94 463
102,2402 188 1781 2005 1633 3253 304 1165 528 36
103,1039 1583 82 2297 2862 1548 1078 728 3333 109
104,467 1560 1887 1315 2256 1510 1633 989 3415 1371
105,79 570 1337 1246 232 1686 3101 2345 810 312
106,2297 463 2862 472 3022 1560 2980 124 2281 2528
107,2402 3013 2862 1543 3153 1315 1560 409 3529 3418
108,2784 1855 3269 3105 1001 3475 2297 1341 190 3116
109,312 802 801 3600 1272 79 232 107 1686 472
110,3423 3013 1223 2402 2054 1615 1505 3424 3151 2528
111,2327 3529 1030 640 2862 922 3317 1746 1316 3013
112,2862 2474 2564 707 36 2265 1560 1371 409 1304
113,2468 3053 3656 3600 312 1583 2980 183 1831 2564
114,2636 2281 361 1227 2718 3696 2054 168 2956 3438
115,487 2076 1800 463 2387 3247 1590 1353 2474 2282
116,183 1781 802 382 188 3253 1868 584 463 3022
117,2564 3022 3409 1560 2673 2646 3317 2732 1271 2862
118,2281 1887 2402 3600 467 1371 79 1510 2858 2774
119,3151 1638 2070 2474 2165 169 93 132 1840 779
120,3656 1638 463 3670 3000 3335 3262 2541 1830 1216
121,584 1858 1376 472 2297 1216 3262 169 2387 3022
122,132 2833 2688 1296 1001 3116 2210 3059 2534 169
123,3000 2387 1638 3262 528 3670 1044 3371 402 472
124,1811 2281 2817 3529 1615 2128 2119 2646 2980 3557
125,1583 1316 2630 3013 2502 2664 790 1039 2314 3528
126,790 1746 1678 476 3597 361 1490 1227 2129 3046
127,3311 3656 2653 2664 2297 640 802 2366 36 312
128,1746 2646 3677 467 2636 863 1809 2068 818 3327
129,1039 2210 2732 2603 1543 3529 1592 2688 2256 3269
130,1956 208 1831 1490 2222 3005 1809 2980 584 785
131,989 1316 1315 124 2148 1337 2387 2076 1887 1543
132,3557 253 2119 3000 1070 2587 2335 1309 3366 1504
133,208 3694 1746 109 1078 1960 1809 2331 1039 3005
134,3692 1057 2646 1887 1912 2402 2410 2327 1379 2664
135,790 2947 1012 333 2847 3022 1316 1365 2833 1102
136,3677 1337 293 1831 3327 208 2847 1490 1315 467
137,863 2054 1341 2076 2774 2564 79 1814 3409 463
138,3371 1950 20 1699 246 488 1686 2237 1341 2956
139,401 236 2470 3105 2673 2410 1376 1912 1614 1315
140,2297 2281 1560 467 2402 3022 1583 3529 512 463
141,467 3677 2402 2342 246 989 482 1422 1669 1510
142,2862 1039 472 1279 1543 463 3013 1316 1186 618
143,79 1246 1686 3101 1545 1868 1086 570 389 2561
144,2774 99 1007 3534 339 3005 543 1108 2784 3511
145,82 3046 2175 2626 189 1211 543 138 2745 1640
146,2402 467 2510 246 132 2528 3269 3677 2342 2732
147,1811 1315 3402 1615 2636 305 138 2653 1227 1560
148,527 3692 772 3131 3424 3213 279 2910 2117 1590
149,1001 2828 3529 2956 2630 3537 779 3528 1177 649
150,3238 3358 1811 2145 501 2602 183 3187 1920 3318
151,2732 463 1223 36 2862 169 3013 3692 1505 472
152,2397 2769 2947 1191 2054 3362 3131 1956 1950 1858
153,2366 1583 36 2297 2630 2210 2745 476 1211 732
154,2784 2630 452 2314 2828 2789 2564 2602 2327 2493
155,2732 3022 3529 1583 2646 1811 2862 472 2281 2054
156,1030 2342 1376 2328 2664 2076 3535 94 169 530
157,2468 584 2128 293 1956 2297 2626 3036 3046 463
158,3677 989 2664 3256 2387 1592 3529 1868 3431 1762
159,1968 3172 208 309 3238 802 3435 106 3402 2117
160,2960 2636 1828 3187 1524 1746 508 2067 3424 2437
161,452 3656 1300 2653 1039 169 312 232 3529 620
162,779 573 1279 93 523 620 2557 498 476 2466
163,1583 2468 3390 2402 1711 2281 3053 863 37 790
164,1560 428 1831 2297 2054 2402 3013 2862 2128 1211
165,246 2402 1887 2068 2370 3133 1510 1633 3256 1315
166,2297 1583 584 1831 2128 512 1316 3694 3022 152
167,20 2745 3051 2527 160 2512 2492 2646 189 3628
168,3013 152 2862 1543 618 2327 93 2617 132 3583
169,1223 2862 1831 1560 3656 1788 452 1590 22 2086
170,1809 2175 2281 36 169 2076 1543 3367 1746 2774
171,2387 3000 2664 2980 3335 1300 2541 640 463 1848
172,3431 382 472 120 989 3013 652 2568 2088 1887
173,1887 246 2402 2370 1371 1052 650 2643 482 2564
174,487 1223 3474 37 1341 883 790 1316 2370 2862
175,2402 1316 2862 3013 1887 3656 2732 2366 989 2603
176,2732 1583 2210 1039 1001 1316 2603 3382 2067 3473
177,1858 463 1668 2646 2297 2054 124 512 467 1583
178,2931 3013 1997 1177 732 1807 2967 2557 1828 2835
179,375 523 10 2091 2248 3409 2116 3062 187 2688
180,2934 2170 1289 517 1892 2176 3701 307 295 1362
181,36 3013 796 772 2297 2510 2564 472 2784 1560
182,1279 779 573 2931 36 1186 1354 3022 375 2510
183,3022 109 3317 1831 1746 584 293 463 1078 2626
184,2281 1240 3227 1536 3338 1070 1725 1808 3701 1186
185,120 2265 1668 2128 1560 3537 1315 707 10 620
186,253 3557 2297 3638 1583 1808 573 2474 3367 779
187,124 1011 2534 3529 1223 3023 3153 487 451 3350
188,1568 2474 36 2488 253 1548 2626 2006 2732 1505
189,2474 138 3537 1858 3013 1012 1912 2988 1178 3116
190,2636 3696 2763 2063 663 2335 2528 1536 1289 1652
191,2862 1279 741 2557 2828 3424 1316 3131 618 2931
192,1615 2128 2626 52 331 169 1018 3051 2327 1211
193,2068 1633 3133 467 186 183 120 650 1781 482
194,3529 208 1583 2646 36 1746 2297 2862 1186 3022
195,2402 2862 2528 1811 863 3529 124 1840 3448 361
196,989 983 2564 3238 790 2732 3051 3660 1039 501
197,1279 1505 779 1638 1186 3423 1354 2862 3456 1543
198,2602 1471 1248 2194 3172 1018 2054 1525 1861 2956
199,1246 79 1700 3406 1686 3101 36 1505 2327 3409
200,2956 3659 409 2835 2258 1379 1186 1930 937 2073
201,3694 36 640 1186 621 1543 1211 2862 1365 253
202,3529 1831 1039 2630 584 1086 2757 1868 1545 1615
203,1868 1086 1545 2297 2653 3600 3311 1956 312 1583
204,409 1560 1456 120 989 382 3253 304 1404 88
205,2564 1223 1560 1337 989 2470 3529 3022 569 802
206,1956 1814 1374 1892 646 339 2956 1583 2297 398
207,1840 2960 472 530 2308 2457 37 809 3535 3353
208,1279 1186 2828 3022 3269 184 2784 2070 1146 796
209,1337 472 3677 640 1868 1848 1475 2256 2920 1371
210,232 3406 2023 570 389 702 560 1505 452 36
211,2630 1211 971 2646 169 2664 2297 3023 790 3022
